,age,sex,race,degree,wrkstat,income,happy,number
0,47,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
1,61,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
2,72,Male,White,Bachelor,Retired,$25000 or more,Very happy,0
3,43,Female,White,High school,Working parttime,Refused,Pretty happy,0
4,55,Female,White,Graduate,Working parttime,Refused,Very happy,0
5,53,Female,White,Junior college,Keeping house,$25000 or more,Very happy,0
6,50,Male,White,High school,Working fulltime,Refused,Pretty happy,0
7,23,Female,Other,High school,Working parttime,$25000 or more,Very happy,0
8,45,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
9,71,Male,White,Junior college,Retired,$25000 or more,Pretty happy,0
10,33,Female,Black,High school,Keeping house,Lt $1000,Don't know,0
11,86,Female,White,High school,Retired,Lt $1000,Not too happy,0
12,32,Male,Black,High school,Working parttime,$8000 to 9999,Very happy,0
13,60,Female,Black,High school,Keeping house,$10000 - 14999,Very happy,0
14,76,Male,White,Lt high school,Temp not working,$25000 or more,Pretty happy,0
15,33,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
16,56,Male,White,High school,Temp not working,$25000 or more,Very happy,0
17,62,Female,Other,Lt high school,Keeping house,$5000 to 5999,Pretty happy,0
18,31,Male,Black,Graduate,Working fulltime,$25000 or more,Pretty happy,0
19,43,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
20,58,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
21,32,Female,Black,Lt high school,Temp not working,$25000 or more,Pretty happy,0
22,23,Female,Other,Lt high school,Working parttime,$20000 - 24999,Very happy,0
23,37,Female,White,High school,"Unempl, laid off",$25000 or more,Very happy,0
24,25,Female,White,Junior college,Working fulltime,$20000 - 24999,Pretty happy,0
25,76,Female,White,Lt high school,Retired,$5000 to 5999,Not too happy,0
26,71,Male,White,Graduate,Retired,Refused,Very happy,0
27,22,Male,Black,High school,Working parttime,Don't know,Not too happy,0
28,74,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
29,75,Female,White,High school,Retired,$25000 or more,Not too happy,0
30,32,Male,White,High school,"Unempl, laid off",$25000 or more,Not too happy,0
31,68,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
32,55,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
33,46,Male,Black,High school,Retired,$25000 or more,Pretty happy,0
34,58,Female,White,High school,"Unempl, laid off",$25000 or more,Not too happy,0
35,35,Male,White,High school,Working fulltime,$25000 or more,Not too happy,0
36,59,Male,White,Bachelor,Working parttime,$25000 or more,Not too happy,0
37,43,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
38,58,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
39,79,Female,White,High school,Retired,$25000 or more,Pretty happy,0
40,40,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
41,44,Female,Other,High school,Working parttime,$25000 or more,Not too happy,0
42,68,Female,Other,Bachelor,Working parttime,$25000 or more,Pretty happy,0
43,36,Female,White,Graduate,Working fulltime,$25000 or more,Not too happy,0
44,70,Male,White,High school,Retired,$10000 - 14999,Very happy,0
45,28,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
46,35,Female,Black,Bachelor,Working fulltime,Refused,Pretty happy,0
47,33,Male,Other,Graduate,Working fulltime,$25000 or more,Not too happy,0
48,23,Male,White,Bachelor,School,$25000 or more,Pretty happy,0
49,47,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
50,25,Female,Other,Bachelor,Working fulltime,$25000 or more,Very happy,0
51,70,Female,White,High school,Retired,$25000 or more,Pretty happy,0
52,20,Male,White,High school,Working parttime,Don't know,Very happy,0
53,41,Male,White,Graduate,Working fulltime,Refused,Very happy,0
54,53,Female,White,Bachelor,Working parttime,Refused,Very happy,0
55,42,Female,White,Bachelor,Working parttime,$25000 or more,Pretty happy,0
56,40,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
57,57,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
58,59,Female,White,Graduate,Working fulltime,$8000 to 9999,Pretty happy,0
59,35,Female,White,Lt high school,"Unempl, laid off",$10000 - 14999,Pretty happy,0
60,26,Male,Black,High school,Working fulltime,$20000 - 24999,Pretty happy,0
61,35,Male,Black,High school,"Unempl, laid off",Lt $1000,Not too happy,0
62,51,Female,Black,High school,Other,$8000 to 9999,Don't know,0
63,39,Female,Black,High school,School,$25000 or more,Not too happy,0
64,27,Female,Other,High school,Keeping house,$1000 to 2999,Pretty happy,0
65,30,Male,Other,Lt high school,Working fulltime,$25000 or more,Pretty happy,0
66,29,Male,Other,High school,Working fulltime,$20000 - 24999,Pretty happy,0
67,39,Female,Black,Lt high school,Temp not working,Lt $1000,Not too happy,0
68,60,Female,Black,Lt high school,Other,Don't know,Pretty happy,0
69,74,Female,Other,Lt high school,Retired,$15000 - 19999,Not too happy,0
70,74,Female,Black,Lt high school,Retired,$10000 - 14999,Not too happy,0
71,57,Female,Black,Bachelor,Working fulltime,$25000 or more,Very happy,0
72,80,Male,Black,High school,Retired,$25000 or more,Pretty happy,0
73,70,Male,Black,High school,Retired,$20000 - 24999,Not too happy,0
74,35,Female,Black,Bachelor,Working parttime,$25000 or more,Very happy,0
75,49,Female,Black,Lt high school,Keeping house,Don't know,Not too happy,0
76,36,Female,White,Graduate,Working parttime,$25000 or more,Pretty happy,0
77,37,Female,Black,Graduate,Working fulltime,$25000 or more,Pretty happy,0
78,78,Female,White,Graduate,Retired,Refused,Very happy,0
79,41,Male,Black,High school,Working fulltime,Refused,Very happy,0
80,42,Male,Other,Junior college,Working fulltime,Refused,Pretty happy,0
81,35,Female,White,Junior college,Working fulltime,$25000 or more,Not too happy,0
82,33,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
83,44,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
84,41,Male,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
85,52,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
86,45,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
87,41,Female,Other,High school,Working fulltime,$20000 - 24999,Pretty happy,0
88,41,Female,White,High school,Working fulltime,$20000 - 24999,Very happy,0
89,68,Male,White,High school,Retired,Don't know,Pretty happy,0
90,57,Female,Black,High school,Keeping house,$20000 - 24999,Pretty happy,0
91,72,Male,Black,Graduate,Keeping house,$25000 or more,Very happy,0
92,68,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
93,50,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
94,40,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
95,58,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
96,43,Male,White,High school,Working fulltime,$20000 - 24999,Pretty happy,0
97,25,Male,Black,Bachelor,Working fulltime,$6000 to 6999,Very happy,0
98,33,Male,Other,Graduate,Working fulltime,$25000 or more,Pretty happy,0
99,27,Male,White,Bachelor,Working parttime,Refused,Pretty happy,0
100,58,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
101,66,Female,White,High school,Retired,$25000 or more,Pretty happy,0
102,66,Male,White,High school,Retired,$1000 to 2999,Pretty happy,0
103,89 or older,Female,White,High school,Retired,Don't know,Pretty happy,0
104,29,Female,Other,Junior college,Working fulltime,$25000 or more,Pretty happy,0
105,89 or older,Female,White,Lt high school,Retired,$10000 - 14999,Pretty happy,0
106,78,Female,White,High school,Retired,$25000 or more,Pretty happy,0
107,52,Female,White,High school,"Unempl, laid off",$10000 - 14999,Not too happy,0
108,50,Male,White,High school,Retired,$10000 - 14999,Pretty happy,0
109,25,Female,White,Bachelor,Working parttime,$25000 or more,Very happy,0
110,37,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
111,54,Female,White,Bachelor,Working fulltime,Refused,Very happy,0
112,52,Male,Other,Junior college,Working fulltime,Refused,Pretty happy,0
113,48,Male,White,High school,Working fulltime,Refused,Pretty happy,0
114,32,Female,Other,Graduate,Working fulltime,Refused,Very happy,0
115,29,Female,White,Bachelor,Working parttime,Lt $1000,Pretty happy,0
116,75,Female,White,Bachelor,Retired,$25000 or more,Very happy,0
117,59,Female,White,Graduate,Working fulltime,Refused,Very happy,0
118,81,Male,White,High school,Retired,$25000 or more,Very happy,0
119,69,Female,White,High school,Retired,Refused,Pretty happy,0
120,55,Female,White,Graduate,Working fulltime,Refused,Very happy,0
121,52,Female,White,High school,Working parttime,$25000 or more,Very happy,0
122,33,Female,White,Bachelor,Working parttime,Refused,Pretty happy,0
123,56,Male,White,High school,Working fulltime,Refused,Pretty happy,0
124,71,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
125,21,Male,White,High school,School,Refused,Very happy,0
126,49,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
127,26,Male,White,Bachelor,Working fulltime,Refused,Very happy,0
128,33,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
129,36,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
130,68,Male,Black,High school,Retired,$25000 or more,Pretty happy,0
131,27,Female,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
132,60,Female,Black,High school,Keeping house,$10000 - 14999,Pretty happy,0
133,48,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
134,47,Female,Black,High school,Working fulltime,$25000 or more,Not too happy,0
135,36,Female,White,Junior college,Working fulltime,Refused,Pretty happy,0
136,89 or older,Female,White,High school,Retired,$15000 - 19999,Pretty happy,0
137,64,Female,White,High school,Retired,$10000 - 14999,Not too happy,0
138,38,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
139,62,Male,White,High school,Retired,$25000 or more,Pretty happy,0
140,62,Female,White,Bachelor,Keeping house,$25000 or more,Very happy,0
141,65,Female,White,Junior college,Keeping house,Refused,Very happy,0
142,60,Male,White,High school,Working fulltime,Don't know,Pretty happy,0
143,47,Female,White,Bachelor,"Unempl, laid off",$1000 to 2999,Pretty happy,0
144,62,Male,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
145,51,Female,White,Bachelor,Working fulltime,Refused,Very happy,0
